title,description,publisheddate,section,site
South China Sea: Battleships may lead to war - Malaysia PM,"Stationing warships in the South China Sea could lead to war, Malaysia's Prime Minister has said.",2 October 2018,News,Asia
Syrian Hassan al-Kontar removed from Malaysia airport after months,Hassan al-Kontar was trying to avoid the war in Syria but found himself stuck in legal limbo in Malaysia.,2 October 2018,News,Asia
Ex-Malaysia PM Najib hit with 25 charges of money laundering and abuse of power,Najib Razak denies all charges linked to the alleged transfer of $556m from a state fund to his account.,20 September 2018,News,Asia
Laundrette cat killers arrested in Malaysia,"Police arrest two of three suspects who put a pregnant cat in a dryer, switched it on and left.",14 September 2018,News,Asia
LGBT rights: Malaysia women caned for attempting to have lesbian sex,"The caning, which took place in a religious court, was witnessed by more than 100 people.",3 September 2018,News,Asia
Radioactive device goes missing in Malaysia,It's not the first time a device like this has vanished but authorities say there's no reason to panic.,21 August 2018,News,Asia
Malaysia ex-PM Najib charged with money laundering,The allegations add to earlier corruption charges as Mr Najib's dramatic fall from power continues.,8 August 2018,News,Asia
Missing Malaysia flight MH370: Aviation chief quits over failings,A report into the Malaysia Airlines flight missing since 2014 found failures by air traffic control.,31 July 2018,News,Asia
Malaysia's ex-PM Najib charged with corruption over 1MDB,"Months after losing an election, Najib Razak is formally accused of embezzling millions of dollars.",4 July 2018,News,Asia
Malaysia 1MDB: Ex-PM Najib arrested by anti-corruption officials,Billions of dollars are unaccounted for from a state fund set up by Najib Razak.,3 July 2018,News,Asia
1MDB: Malaysia's global corruption scandal,Billions of dollars has allegedly been siphoned off from the state-backed investment fund.,3 July 2018,News,Asia
Child marriage involving bride of 11 sparks outrage in Malaysia,"An 11-year-old girl became a 41-year-old man's third wife, prompting calls for a change in the law.",1 July 2018,News,Asia
Malaysia Open: Chris and Gabby Adcock beat Olympic champions to reach semi-finals,Britain's Chris and Gabby Adcock reach the semi-finals of the Malaysia Open with victory over the reigning Olympic champions.,29 June 2018,Sport,Badminton
"Malaysia 1MDB: Seized tiaras, cash and Hermes bags 'worth $273m'",Malaysian police took five weeks to tally up luxury goods found at properties linked to the ex-PM.,27 June 2018,News,Asia
World Business Report: Malaysia 1MDB: Seized Cash and Goods 'Worth $273m',Malaysian police seized $273m worth of goods from properties linked to ex-PM Najib Razak,27 June 2018,Programmes,BBC World Service
World Business Report: Malaysia 1MDB: Seized Cash and Goods 'Worth $273m',Malaysian police seized $273m worth of goods from properties linked to ex-PM Najib Razak,27 June 2018,Programmes,BBC World Service
Malaysia mosque bans tourists after provocative dance,"Two women, believed to be foreign, were filmed dancing in ""inappropriate"" garb on the mosque wall.",25 June 2018,News,Asia
Malaysia's Anwar Ibrahim on Mahathir: 'We have to move on',Malaysiaâs former deputy PM speaks to the BBC about succeeding the man who put him in jail.,11 June 2018,News,Asia
Australia jails man over Malaysia Airlines plane bomb threat,"The device was fake but Malaysia Airlines passengers were ""convinced"" it was real, a judge says.",7 June 2018,News,Australia
Police find $28m cash in raids linked to Malaysia ex-PM Najib,The raids on homes linked to former PM Najib Razak are part of a large corruption investigation.,25 May 2018,News,Asia
Australian woman sentenced to death in Malaysia over drugs,The 54-year-old Australian was found to be carrying 1.1kg of crystal methamphetamine in 2014.,24 May 2018,News,Asia
From Our Own Correspondent: Malaysia's Political Drama,"A whirlwind of shifting loyalties, rotating characters and plot twist after plot twist.",24 May 2018,Programmes,BBC Radio 4
From Our Own Correspondent Podcast: Malaysiaâs Political Drama,"A whirlwind of shifting loyalties, rotating characters, and plot twist after plot twist.",24 May 2018,Programmes,BBC Radio 4
Najib Razak: Scandal-hit ex-Malaysia PM condemns police raids,The raids at properties linked to the ousted prime minister were linked to a big corruption scandal.,19 May 2018,News,Asia
Malaysia politics: $4 sandals vs luxury Birkin bags,How Birkin handbags and cheap shoes became a symbol of change for many Malaysians.,18 May 2018,News,Asia
Malaysia police seize cash and luxury goods in Najib-linked raids,Police say the raids targeting ousted PM Najib Razak are linked to the 1MDB corruption scandal.,18 May 2018,News,Asia
Malaysia's political drama is worthy of Shakespeare,The release of Anwar Ibrahim in Malaysia melds loyalty and betrayal in a narrative for the ages.,17 May 2018,News,Asia
Malaysia's Najib Razak has home searched by police,It comes a week after he lost the election and after years of corruption allegations.,16 May 2018,News,Asia
Malaysia's freed Anwar Ibrahim hails 'new dawn' after poll win,"The reformist politician is freed from jail after a pardon, paving the way for a return to politics.",16 May 2018,News,Asia
"Malaysia to review not revoke fake news law, says Mahathir","New PM Mahathir Mohamad had promised to ditch the law but said there were ""limits"" to free speech.",14 May 2018,News,Asia
Former Malaysia PM Najib Razak banned from leaving country,"Najib Razak is barred from travelling overseas, just days after his party's shock election defeat.",12 May 2018,News,Asia
The Cultural Frontline: Truth and Taboo from Malaysia to the Middle East,Censorship and the artists and satirists who use their creativity to evade it,12 May 2018,Programmes,BBC World Service
Malaysia election: What just happened?,How a 92-year-old just won an election and what is likely to happen next.,10 May 2018,News,Asia
"Corruption, money and Malaysia's election",How the economy swept Mahathir Mohamad to a stunning and unexpected victory in Malaysia.,11 May 2018,News,Business
Malaysia's Mahathir hopes to get back lost 1MDB funds,Newly elected Mahathir Mohamad says he hopes to recoup most of the money lost in a corruption scandal.,10 May 2018,News,Asia
Malaysia election: Why did young voters pick a 92-year-old?,Former Malaysian Prime Minister Mahathir Mohamad scored a historic election victory.,10 May 2018,News,Asia
Malaysia's Mahathir Mohamad sworn in after shock comeback victory,"Mahathir Mohamad, back in power after 15 years, says he will focus on the country's finances.",10 May 2018,News,Asia
Malaysia profile - Timeline,A chronology of key events in the history of Malaysia,21 October 2011,News,Asia
Malaysia election: Opposition scores historic victory,"In a dramatic comeback, former PM Mahathir Mohamad, 92, ends the ruling coalition's 60 years in power.",9 May 2018,News,Asia
Business Matters: Opposition Claims Victory in Malaysia,"Victory for an alliance led by Mahathir Mohamad, the 92 year old former prime minister.",10 May 2018,Programmes,BBC World Service
Malaysia election: What does politics mean to multi-racial voters?,"As multi-racial Malaysia heads to the polls, we ask different communities what will decide their vote.",8 May 2018,News,Asia
Malaysia's election: A battle of old allies,"Corruption, race, old alliances and accusations of fraud will all play their part when Malaysians vote on 9 May.",7 May 2018,News,Asia
Malaysia elections: Could Mahathir Mohamad make a comeback?,Ex-PM Mahathir Mohamad has joined the opposition to break his former party's 61-year grip on Malaysia.,7 May 2018,News,Asia
Malaysia's youth have power they won't use,"Millennials are the largest voting bloc, but outdated laws and old-style politics means many feel powerless.",5 May 2018,News,Asia
World Cricket League Division Four: Jersey beat hosts Malaysia by 10 runs in rain-affected match,Jersey register a nail-biting 10-run win over hosts Malaysia in a rain-affected World Cricket League Division Four encounter in Kuala Lumper.,3 May 2018,Sport,Cricket
Palestinian lecturer and Hamas member killed in Malaysia,Malaysian officials say the suspects are believed to have links to a foreign intelligence service.,21 April 2018,News,Asia
Syria man 'stranded at Malaysia airport for weeks',Hassan al-Kontar says he has spent over a month stuck in the transit section of a Malaysian airport.,12 April 2018,News,Asia
Commonwealth Games: Wales finish bottom of group after Malaysia defeat,Wales' women end the Commonwealth Games bottom of Pool A after losing 1-0 to Malaysia.,11 April 2018,Sport,Commonwealth Games
Commonwealth Games: England progress to semi-finals with win over Malaysia,England book their place in the Commonwealth Games semi-finals with a 3-0 victory over Malaysia.,9 April 2018,Sport,Commonwealth Games
"Catch-up: England v Malaysia badminton from the 2018 Commonwealth Games in Gold Coast, Australia",Watch coverage of today's badminton action at the Carrara Sports and Leisure Centre in the 2018 Commonwealth Games.,8 April 2018,Sport,Commonwealth Games
Commonwealth Games: Highlights as Malaysia cruise to a 3-0 victory over Wales,Watch highlights as Malaysia beat Wales 3-0 in the Men's hockey to go second in Pool B behind England.,7 April 2018,Sport,Commonwealth Games
Commonwealth Games: England's men open campaign with 7-0 win over Malaysia,Watch all the goals as England's men open up their Commonwealth Games campaign with a comprehensive 7-0 win over Malaysia.,6 April 2018,Sport,Commonwealth Games
Malaysia seeks 10 year-jail terms for 'fake news',Critics say the bill is an attempt by the authorities to stifle dissent ahead of elections.,26 March 2018,News,Asia
Nerve agent attacks: How Malaysia responded compared to the UK,"Both the UK and Malaysia faced nerve agent attacks on their soil, but they responded very differently.",16 March 2018,News,Asia
Sultan Azlan Shah Cup: Ireland beaten 4-1 by India in last game in Malaysia,Ireland's Sultan Azlan Shah Cup campaign in Malaysia ends in defeat as India avenge Friday's result by earning a 4-1 win.,10 March 2018,Sport,Hockey
Sultan Azlan Shah Cup: England outclass Malaysia to set up Australia final,Watch highlights as England claim a superb 7-2 win over Malaysia to seal a place in the Sultan Azlan Shah Cup final on Saturday.,9 March 2018,Sport,Hockey
Sultan Azlan Shah Cup: England outclass Malaysia to set up Australia final,England will meet Australia in the Sultan Azlan Shah Cup final after outclassing Malaysia in their final group game.,9 March 2018,Sport,Hockey
Watch live England v Malaysia in the Sultan Azlan Shah Cup,England play Malaysia in the Sultan Azlan Shah Cup - watch live coverage on BBC Sport.,8 March 2018,Sport,Hockey
Malaysia wishes wrong New Year with a barking rooster,The country's trade ministry welcomed the Year of the Dog with a culturally unwelcome rooster.,18 February 2018,News,Asia
Pop star Denise Ho denied Malaysia permit 'over LGBT views',Denise Ho says Malaysia denied her a performance permit because of her support for the gay community.,15 February 2018,News,China
100 Women: Maid dies in Malaysia after being left to 'sleep outside with dog',"Calls to protect domestic workers in Malaysia, after the death of an Indonesian maid who it's suspected was abused by her employers.",14 February 2018,News,Asia
Malaysia defends 'hideous' tourism logo despite criticism,The logo features orangutans and turtles wearing shades.,30 January 2018,News,Asia
'Shaking' Malaysia Airlines flight turns back to Australia,"Malaysia Airlines says the jet experienced a ""technical"" issue on its way to Kuala Lumpur.",19 January 2018,News,Australia
100 Women: National Union of Journalists Malaysia sorry for 'sexy outfit' advice,The National Union of Journalists in Malaysia apologises for advising female reporters to avoid âsexyâ clothes to prevent harassment.,18 January 2018,News,Asia-Pacific
"Mahathir Mohamad: Ex-Malaysia PM, 92, to run for office",The opposition alliance picks him as its prime ministerial candidate for the next general election.,8 January 2018,News,Asia
US bans Malaysian palm oil producer over forced labour,"Malaysia's FGV Holdings says it has taken ""concrete steps"" to improve its labour standards.",1 October 2020,News,Business
Malaysia court clears 'drug mule' grandmother who faced hanging,The 54-year-old Australian argued drugs were planted on her after she fell for an online dating scam.,27 December 2017,News,Asia
Ivana Smit: Model's death in Malaysia casts a long shadow,The tragic death of a model in Malaysia raises questions about the dark side of a glamorous world.,24 December 2017,News,Asia
Fake baby milk formula scare hits Malaysia,Hundreds of packets of imitation formula products have been removed from sale in the country.,14 December 2017,News,Business
Cooking with Paula McIntyre: Malaysian Chicken Curry with Tomato Rice,Spice up the chicken and enjoy with tomato rice on the side,19 September 2020,Programmes,BBC Radio Ulster
Chinese and Malaysian hackers charged by US over attacks,Five Chinese and two Malaysian men are charged by the US over separate alleged hacking plots.,16 September 2020,News,Technology
World Cricket League Division Four: Jersey to travel to Malaysia for tournament,Jersey will travel to Malaysia for the World Cricket League Division Four tournament in 2018.,16 November 2017,Sport,Cricket
Malaysian man 'finds' monkey selfies on lost phone,Zackrydz Rodzi says he was stunned to find photos after tracing lost phone to nearby jungle.,15 September 2020,News,Asia
Miss Universe Malaysia to wear nasi lemak dress,Miss Malaysia will wear a gown inspired by the spicy national dish at the pageant finals.,1 November 2017,News,Asia
Kim Jong-nam murder: Suspects revisit Malaysia airport,The women accused of killing the half-brother of North Korea's leader visit the scene.,24 October 2017,News,Asia
MH370: Malaysia in talks with US firm to restart plane search,"The Malaysian government is exploring a ""no find-no fee"" style deal with Texas-based company Ocean Infinity.",20 October 2017,News,Asia
Kim Jong-nam murder: Women plead not guilty in Malaysia trial,The half-brother of North Korea's leader Kim Jong-un was murdered with a toxic nerve agent.,2 October 2017,News,Asia
Lewis Hamilton 'surprised' to take pole position in Malaysia,Lewis Hamilton says he was surprised to take pole position for the Malaysian Grand Prix after a difficult weekend.,30 September 2017,Sport,Formula 1
Lewis Hamilton on pole as Sebastian Vettel starts at back in Malaysia,"Lewis Hamilton takes pole position for the Malaysian Grand Prix, as title rival Sebastian Vettel starts at the back of the grid.",30 September 2017,Sport,Formula 1
Malaysia Grand Prix: Kimi Raikkonen top as Sebastian Vettel breaks down,Lewis Hamilton sets only fifth fastest time in final practice as his Mercedes team continued to struggle at the Malaysian Grand Prix.,30 September 2017,Sport,Formula 1
Lewis Hamilton off pace in Malaysia practice as Romain Grosjean crashes,Sebastian Vettel sets the pace in second practice at the Malaysian Grand Prix as title rival Lewis Hamilton struggles.,29 September 2017,Sport,Formula 1
Pierre Gasly to make Formula 1 debut with Toro Rosso in Malaysia,French driver Pierre Gasly will make his Formula 1 debut with Toro Rosso at this weekend's Malaysian Grand Prix.,26 September 2017,Sport,Formula 1
Verstappen wins in Malaysia - reaction,"Live text coverage of the Malaysian GP, where Max Verstappen wins and Sebastian Vettel battles back.",26 September 2017,Sport,Formula 1
Malaysia fire: Students and teachers killed in dormitory,At least 23 students and teachers die at a religious school in Kuala Lumpur,14 September 2017,News,Asia
"NÃ³ra Quoirin: Window in Malaysian resort was broken, inquest hears","A window handle in the room which NÃ³ra Quoirin went missing from was broken, an inquest hears.",27 August 2020,News,London
Malaysia to name firms lacking board diversity,Prime Minister Najib Razak will publish the names of firms that have no female directors.,6 September 2017,News,Business
NÃ³ra Quoirin: Site of Malaysian body find 'searched several times',An inquest in Malaysia hears police had already combed the site where NÃ³ra Quoirin's body was found.,26 August 2020,News,London
Malaysia sites hacked after blunder over Indonesian flag,The Indonesian flag was printed upside down in a Malaysia-organised regional sports event guidebook.,21 August 2017,News,Asia
The online abuse hurled at Malaysia's Muslim women,The brutality of online attacks on some Muslim women in Malaysia have led to calls for changes in law.,21 August 2017,News,Asia
Malaysia princess Tunku Aminah weds Dutchman in lavish ceremony,The daughter of the Sultan of Johor weds a Dutch ex-model and football executive in grand style.,15 August 2017,News,Asia
Malaysia detains hundreds in counter-terrorism raids,Security in Kuala Lumpur is being tightened up ahead of this month's Southeast Asian Games.,7 August 2017,News,Asia
Malaysia MP: 'Denying husbands sex is abuse',"Outrage erupts in Malaysia after an MP said women denying their husbands sex amounted to ""abuse"".",27 July 2017,News,Asia
Despacito censored: Malaysia bans 'unsuitable' hit from state stations,"Despacito, the most-streamed song of all time, is banned from state stations over its ""sexy"" lyrics.",20 July 2017,News,Asia
Shell withdraws Malaysia cardboard cutouts after 'distasteful' groping,Pictures of men misbehaving with the life-sized image of the firm's female employee went viral.,5 July 2017,News,Business
Chinese deities flown on business class to Malaysia,Three Chinese deities were seen travelling business class - what's the story behind their voyage?,5 July 2017,News,Asia
The 'blackface' ad that got Malaysia talking,A Malaysian beauty company's blackface advert has generated controversy online.,30 June 2017,News,Magazine
Hockey World League Semi-Final: England beat Malaysia 4-1 to win bronze,England win bronze at the World League third place play-off with a comfortable 4-1 win over Malaysia in London.,25 June 2017,Sport,Hockey
Hockey World League 2017: England beat Malaysia 4-1 to win bronze,Watch highlights of England's comfortable 4-1 win over Malaysia to win bronze at the Hockey World League in London.,25 June 2017,Sport,Hockey
Baby elephant killed on Malaysia highway,"Officials urge people to drive more carefully, after the two-year-old animal was apparently hit by a car.",19 June 2017,News,Asia
Hockey World League 2017: England overwhelm Malaysia in London,England make it two wins from two as they beat Pool A opponents Malaysia 7-3 in the men's Hockey World League semi-finals.,17 June 2017,Sport,Hockey
US looks to seize $540m in 'stolen' assets from Malaysia fund 1MDB,A luxury yacht and a Picasso painting are among the assets allegedly bought using stolen Malaysian funds.,16 June 2017,News,Business
Malaysia drops gay 'prevention' category from video competition,Activists had warned the competition could increase hatred and violence against LGBT people.,8 June 2017,News,Asia
Malaysia gay 'prevention' competition seeks videos,"Young people are being offered cash prizes for the best videos tackling ""gender confusion"".",3 June 2017,News,Asia
Man accused of Malaysia Airlines threat does not appear in court,A man charged over a false bomb threat on a Malaysia Airlines flight elects not to appear in court.,2 June 2017,News,Australia
Malaysia airline cockpit scare,The moment armed police carried a man off a flight for claiming to have a bomb.,1 June 2017,News,World
"Malaysia Airlines plane threat foiled by 'heroes', witness says",A witness tells how passengers tackled a man who allegedly made threats on a Malaysia Airlines jet.,1 June 2017,News,Australia
Malaysia Airlines plane turns back after cockpit entry bid,The Malaysia Airlines jet returned to Melbourne after a passenger tried to get into the cockpit.,31 May 2017,News,Australia
Najib Razak: Malaysian ex-PM gets 12-year jail term in 1MDB corruption trial,Najib Razak gets 12 years in jail after he is convicted in a multi-million dollar corruption trial.,28 July 2020,News,Asia
Newsday: Guilty verdict for former Malaysian prime minister,"Live news, business and sport from around the world.",28 July 2020,Programmes,BBC World Service
Newsday: Former Malaysian PM guilty of abuse of power,"Live news, business and sport from around the world.",28 July 2020,Programmes,BBC World Service
North Korea v Malaysia: Asian Cup qualifier is postponed,"""Geo-political tension"" and ""safety and security"" concerns mean Malaysia's Asian Cup qualifier in North Korea is postponed.",17 May 2017,Sport,Football
Malaysia chief fears player poisonings during North Korea visit,Malaysia's football chief is worried players could be poisoned if their Asian Cup qualifier goes ahead in North Korean capital Pyongyang.,11 May 2017,Sport,Football
