0,1,2,3
Bersatu slams party MPs for 'betrayal'; Dewan Rakyat seat change a violation of political responsibility,KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) has slammed its members of parliament (MPs) for their betrayal after requesting to change seats in the Dewan Rakyat. ,2023-11-14,Politics
Anwar's former political aide denies pursuing Bersatu MPs to declare support,"KUALA LUMPUR: Former political aide of Datuk Seri Anwar Ibrahim, Datuk Farhash Wafa Salvador, has denied any involvement in 'pursuing' several opposition members to support the leadership of the prime minister. ",2023-11-14,Politics
Wan Fayshal reveals duo behind move to get opposition MPs support for Anwar,KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) Youth chief Wan Ahmad Fayhsal Wan Ahmad Kamal alleged that two individuals were responsible for 'pursuing' several opposition members to support the leadership of Prime Minister Datuk Seri Anwar Ibrahim. ,2023-11-14,Politics
"Dr M's 'confession' proves he was never sincere in working with DAP, says Loke","KUALA LUMPUR: Tun Dr Mahathir Mohamad’s ‘confession’ that he only used DAP to topple Datuk Seri Najib Tun Razak’s government in 2018 proves that the former prime minister was never sincere in collaborating with the party, according to DAP secretary-general Anthony Loke.",2023-11-14,Politics
BN could win Kemaman by-election - analyst,KUALA LUMPUR: Barisan Nasional’s candidate for the Kemaman by-election could possibly propel the coalition to wrestle back the parliamentary seat.,2023-11-14,Politics
Govt allocations to opposition never a practice - analyst,KUALA LUMPUR: Allocations that are not directed to the opposition cannot be considered a government strategy to pressure MPs to shift support towards the Unity Government and Prime Minister Datuk Seri Anwar Ibrahim.,2023-11-14,Politics
Cops record statement from Siti Mastura,KUALA LUMPUR: Kepala Batas member of parliament (MP) Dr Siti Mastura Muhammad arrived in Bukit Aman today to give her statement regarding an alleged defamatory remark made against DAP Chairman Lim Guan Eng.,2023-11-14,Politics
Jeli MP who declared support for PM says his priority is welfare of constituents,"KOTA BARU: Zahari Kechik, the second Member of Parliament from Kelantan who declared support for the Madani government on Nov 8, said his priority right now is the welfare of his constituents. ",2023-11-14,Politics
Dr M equally to blame: Ramasamy,"GEORGE TOWN: The refusal by the Chinese and Indian immigrants in the past to assimilate to Malay culture should be blamed on the British colonial policy, Malay elites and the non-Malay elites, a former DAP leader said.",2023-11-14,Politics
No report of bribery and threats lodged with police or MACC on Bersatu lawmakers supporting PM [NSTTV],"KUALA LUMPUR: No reports have been lodged with the police or the Malaysian Anti-Corruption Commission (MACC) over the allegations of bribery and threats on several Parti Pribumi Bersatu Malaysia (Bersatu) lawmakers who declared support for Prime Minister Datuk Seri Anwar Ibrahim, the Dewan Rakyat heard today.",2023-11-14,Politics
Musa Aman's presence at Gagasan Rakyat AGM proves his support for Hajiji,KOTA KINABALU: Former Chief Minister Tan Sri Musa Aman's presence at the Parti Gagasan Rakyat Sabah event yesterday indicated his support for the current government leadership. ,2023-11-14,Politics
Sabah ex-CMs including Musa Aman present at Gagasan Rakyat's AGM,KOTA KINABALU: Parti Gagasan Rakyat Sabah has given the honour to four former Sabah chief ministers to be part of its annual general meeting (AGM) here.  ,2023-11-13,Politics
Sabah ex-CMs including Musa Aman present at Gagasan Rakyat's AGM,KOTA KINABALU: Parti Gagasan Rakyat Sabah has given the honour to four former Sabah chief ministers to be part of its annual general meeting (AGM) here.  ,2023-11-13,Politics
Terengganu BN pledges support for direct candidate of Kemaman by-election,"KUALA TERENGGANU: Terengganu Barisan Nasional (BN) has pledged its support for General (Rtd) Tan Sri Raja Mohamed Affandi Raja Mohamed Noor who was today named the coalition’s direct candidate for the Kemaman parliamentary by-election, slated for Dec 2.",2023-11-13,Politics
"Sabah hopes no more 'power grab' in future, says Hajiji",KOTA KINABALU: Sabah Chief Minister Datuk Seri Hajiji Noor is hoping that power grab by leaders here would not happen again to ensure development to take place in the state. ,2023-11-13,Politics
Loophole in Anti-party Hopping law an advantage to MPs who switch support, ,2023-11-13,Politics
"Kemaman is not a Pas stronghold, but Umno's: Zahid","KUALA LUMPUR: Barisan Nasional (BN) is optimistic about winning back the Kemaman parliamentary seat in the upcoming by-election, saying that it is not Pas' stronghold. ",2023-11-13,Politics
Tun M on collaborative effort with DAP: 'The enemy of your enemy is your friend' [Updated],KUALA LUMPUR: Former prime minister Tun Dr Mahathir Mohamad today acknowledged he had worked with DAP during the 2018 General Elections (GE14) to achieve his political goal of removing Datuk Seri Najib Razak as the prime minister at the time. ,2023-11-13,Politics
Tun Mahathir claims role in Anwar's political rise in KS podcast [Updated],KUALA LUMPUR: Former two-time prime minister Tun Dr Mahathir Mohamad today claimed that he paved the way for prime minister Datuk Seri Anwar Ibrahim to soar as a politician by capitalising on the latter's religious credentials. ,2023-11-13,Politics
Raja Mohamed Affandi is BN's direct candidate for Kemaman by-election,KUALA LUMPUR: Barisan Nasional has named former Chief of Defence Forces General (R) Tan Sri Raja Mohamed Affandi Raja Mohamed Noor as the direct candidate to contest the upcoming Kemaman by-election. ,2023-11-13,Politics
"Five more Bersatu MPs expected to support PM; party may collapse, says senior member",KUALA LUMPUR: Many Parti Pribumi Bersatu Malaysia (Bersatu) members are no longer confident that the party can last until the 16th General Election. ,2023-11-13,Politics
Bersatu MPs shift in support is due to trust deficit in party's leadership,KUALA LUMPUR: The four Parti Pribumi Bersatu Malaysia (Bersatu) members of parliament who declared support for Datuk Seri Anwar Ibrahim did that due to a trust deficit towards its own party leadership.,2023-11-12,Politics
"Umno leader calls for strengthening, review of anti-party hopping law",PONTIAN: The Anti-Party Hopping Act needs to be reinforced to address the anomalies arising when four Perikatan Nasional (PN) members of Parliament shifted their support to the unity government.,2023-11-12,Politics
"Potential for stronger parliamentary presence with Muhyiddin helming opposition leader post, says Umno veteran","KUALA LUMPUR: An Umno veteran has suggested that Perikatan Nasional (PN) chairman Tan Sri Muhyiddin Yassin take the post of opposition leader, as he would excel in leading its members of parliament (MPs).",2023-11-11,Politics
"Dismissing calls to resign, Labuan MP defends support for Anwar as essential for constituency allocations",KUALA LUMPUR: Labuan member of parliament (MP) Datuk Suhaili Abdul Rahman has rebuffed calls to relinquish his parliamentary seat despite declaring allegiance to Prime Minister Datuk Seri Anwar Ibrahim. ,2023-11-11,Politics
"Gua Musang MP breaks silence, says Bersatu leaders reached out to him","KOTA BARU: Gua Musang Member of Parliament, Mohd Azizi Abu Naim, who recently declared his allegiance to Prime Minister Datuk Seri Anwar Ibrahim and the unity government, has broken his silence. ",2023-11-11,Politics
No need to review anti-party hopping law: Analyst,"KUALA LUMPUR: Despite calls by certain quarters for the anti-party hopping law to be reviewed, an analyst believes that there is no need for it.",2023-11-11,Politics
"Zahid: Umno focusing on wresting back seats lost to Bersatu, not being distracted by Opposition MPs support for PMX",ALOR STAR: Umno will not be distracted by the move by four Parti Pribumi Bersatu Malaysia (Bersatu) members of Parliament pledging their support for Prime Minister Datuk Seri Anwar Ibrahim. ,2023-11-11,Politics
PN consulted with govt on allocations before halting negotiations,CHUKAI: Perikatan Nasional (PN) has admitted to having consulted with the unity government regarding allocations to opposition members of Parliament before halting the negotiations.,2023-11-11,Politics
"Zahid drops hint, Kemaman by-election candidate can be from outside Umno hierarchy",ALOR STAR: Datuk Seri Dr Ahmad Zahid Hamidi had dropped a hint that Umno’s candidate for the upcoming Kemaman by-election could be someone from outside the party hierarchy. ,2023-11-11,Politics
Hajiji to deliver inaugural policy speech during Gagasan Rakyat AGM on Monday,KOTA KINABALU: Gagasan Rakyat Sabah will be holding its inaugural annual general assembly at the Sabah International Convention Centre on Monday.,2023-11-11,Politics
Zombie MPs and political manoeuvres: Bersatu's rejection of anti-hopping clause comes back to haunt them,KUALA LUMPUR: Former Health Minister and Keluar Sekejap host Khairy Jamaluddin said that Parti Pribumi Bersatu Malaysia's (Bersatu) rejection towards an anti-hopping clause when the law was drafted had backfired.,2023-11-10,Politics
Zombie MPs and political manoeuvres: Bersatu's rejection of anti-hopping clause comes back to haunt them,KUALA LUMPUR: Former Health Minister and Keluar Sekejap host Khairy Jamaluddin said that Parti Pribumi Bersatu Malaysia's (Bersatu) rejection towards an anti-hopping clause when the law was drafted had backfired.,2023-11-10,Politics
"MCA Youth, Women on nationwide tour to get close to youths",JOHOR BARU: The MCA Youth and Women will go on a nationwide tour to bring the movement closer to youths as part of the party’s rejuvenation process.,2023-11-10,Politics
Puad: Threats and bribes to switch sides? Muhyiddin needs to look in the mirror,KUALA LUMPUR: Umno Supreme Council member Datuk Mohd Puad Zarkashi has told Bersatu president Tan Sri Muhyiddin Yassin to “self-reflect” before making allegations that four of its members of parliament (MPs) who expressed support for Prime Minister Datuk Seri Anwar Ibrahim were threatened and bribed.,2023-11-10,Politics
"Reasons given by two Kelantan MPs for supporting PM are weak excuses, says Pas veep",KOTA BARU: The reasons given by the two Kelantan Parti Pribumi Bersatu Malaysia (Bersatu) members of Parliament for switching their support to the prime minister and the unity government are merely weak excuses.,2023-11-10,Politics
'Bersatu has become a party that can no longer be trusted within the composition of PN' - analyst,"KUALA LUMPUR: Analysts contend that Parti Pribumi Bersatu Malaysia (Bersatu) is hesitating to take decisive action against its members of Parliament (MP) who have sidelined the party, citing its reluctance to risk further losing parliamentary seats.",2023-11-10,Politics
Muda calls for an end to selective political prosecution,KUALA LUMPUR: The Malaysian United Democratic Alliance (Muda) has called for an end to selective political prosecution.,2023-11-10,Politics
'Turning one's back on one's own party without quitting from party could lead to the fall of a government',KOTA BARU: Turning one’s back on one’s own party without quitting from that party could lead to the fall of a government.,2023-11-10,Politics
4 MPs say request to change seats does not mean a shift to govt bloc,"KUALA LUMPUR: The request to change seats within the Dewan Rakyat by the four opposition members of Parliament (MPs) who expressed support for the Madani government, does not indicate a shift to the government bloc.",2023-11-10,Politics
"Bersatu to refer MPs of Gua Musang, Jeli to party's disciplinary board","KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) will refer two MPs from the party who expressed support for Prime Minister Datuk Seri Anwar Ibrahim to its disciplinary board, says Bersatu president Tan Sri Muhyiddin Yassin.",2023-11-10,Politics
"Bersatu to lodge report with MACC, police after MPs back Anwar's govt",KUALA LUMPUR: Bersatu will lodge a report with the Malaysian Anti-Corruption Commission (MACC) and the police after four of its members of parliament (MPs) pledged support for the unity government.,2023-11-10,Politics
"Bersatu calls for review of anti-party hopping law, citing flaws",KUALA LUMPUR: Bersatu has proposed for the anti-party hopping law to be reviewed.,2023-11-10,Politics
"Bersatu faces mounting pressure as support and confidence from members wanes, analysts warn","KUALA LUMPUR: Bersatu is under increasing pressure due to a decline in support and confidence from its own members, analysts say.",2023-11-09,Politics
[Updated] Syed Saddiq steps down as Muda president,"PETALING JAYA: Muar member of Parliament Syed Saddiq Syed Abdul Rahman has stepped down as Muda president, effective immediately.",2023-11-09,Politics
"Bukit Gantang MP supports unity govt and Anwar, pending funding approval",KUALA LUMPUR: Bukit Gantang member of parliament (MP) Datuk Syed Abu Hussin Hafiz Syed Abdul Fasal said he would support the unity government and Prime Minister Datuk Seri Anwar Ibrahim if his request for funding for the constituency was granted.,2023-11-09,Politics
Ketereh MP refutes rumours he is next to join the 4 Bersatu MPs,KOTA BARU: The Ketereh Parti Pribumi Bersatu Malaysia (Bersatu) member of Parliament (MP) has refuted rumours that he will join the two MPs from Gua Musang and Jeli who had declared their support for the unity government.,2023-11-09,Politics
"More Bersatu MPs will declare support for Anwar, says Zahid",KUALA LUMPUR: Umno is expecting more Parti Pribumi Bersatu Malaysia (Bersatu) lawmakers to follow suit in declaring support towards Prime Minister Datuk Seri Anwar Ibrahim. ,2023-11-09,Politics
MCA calls for halt to defections,KUALA LUMPUR: Malayan Chinese Association (MCA) has urged an immediate halt to the trend of political defections from the opposition to support Prime Minister Datuk Seri Anwar Ibrahim.  ,2023-11-09,Politics
"MPs' defection reveals directionless PN, says Kelantan Umno leader","KOTA BARU: The recent decision of Perikatan Nasional (PN) Members of Parliament to express support for Prime Minister Datuk Seri Anwar Ibrahim's administration indicates they lack confidence in PN, says an Umno leader. ",2023-11-09,Politics
Bersatu Supreme Council to meet tonight over 4 MPs who switched support,KUALA LUMPUR: The Parti Pribumi Bersatu Malaysia (Bersatu) Supreme Council will hold an emergency meeting tonight following the declaration of support by four of its members of Parliament (MP) for the unity government.,2023-11-09,Politics
"Practice of switching support is 'cheap' politics, says Johor PN deputy chairman","JOHOR BARU: The recent moves by some members of Parliament (MP) from Perikatan Nasional (PN) to declare their support to the unity government, is seen as a new political norm and practice of cheap politics.",2023-11-09,Politics
"Practice of switching support is 'cheap' politics, says Johor PN deputy chairman","JOHOR BARU: The recent moves by some members of Parliament (MP) from Perikatan Nasional (PN) to declare their support to the unity government, is seen as a new political norm and practice of cheap politics.",2023-11-09,Politics
More Bersatu MPs expected to declare support for PM Anwar,"KUALA LUMPUR: With Parti Pribumi Bersatu Malaysia (Bersatu) grappling with a loyalty crisis following the defection of four federal lawmakers to Prime Minister Datuk Seri Anwar Ibrahim, it is now learned that several more Members of Parliament will follow suit in the coming days. ",2023-11-09,Politics
Move by two Kelantan MPs a blow to Bersatu and state Pas,"KOTA BARU: The recent move by two members of Parliament (MP) from Kelantan to declare their support to the Prime Minister and the unity government, is a blow to both Parti Pribumi Bersatu Malaysia (Bersatu) and state Pas.",2023-11-09,Politics
"Zahari Kechik made the decision on his own, says brother","KOTA BARU: ""Even though we are brothers but we never interfere in each other's affairs. The announcement he made was his own decision.""",2023-11-09,Politics
Allocate CDF to elected reps unconditionally and impartially - Bersih,"KUALA LUMPUR: The Coalition for Clean and Fair Elections (Bersih) has expressed its disappointment towards the Prime Minister Datuk Seri Anwar Ibrahim for his failure to ensure the distribution of constituency development funds (CDF) to the members of parliament (MPs), especially to the opposition.",2023-11-08,Politics
Kelantan Bersatu chief says Zahari should have discussed his problem with party leadership,KOTA BARU: Kelantan Parti Pribumi Bersatu Malaysia (Bersatu) chief Datuk Kamaruddin Md Nor expressed his displeasure with Jeli member of parliament Zahari Kechik's decision to follow in the footsteps of Gua Musang MP.,2023-11-08,Politics
Muhyiddin denies RM500mil expenditure for PN govt's publicity and advertising contract,KUALA LUMPUR: The country's eighth Prime Minister Tan Sri Muhyiddin Yassin has denied claims that there was an expenditure of RM500 million for a publicity and advertising contract during the Perikatan Nasional (PN) government administration.,2023-11-08,Politics
"Anwar's administration is allegedly engaged in widespread money politics, says Wan Saiful",KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) supreme council member Datuk Wan Saiful Wan Jan has claimed that there is a rampant activity of money politics taking place in the administration under the leadership of Prime Minister Datuk Seri Anwar Ibrahim.,2023-11-08,Politics
Speaker: Kelantan State Assembly not notified yet of Mohd Azizi's  stand,KOTA BARU: The Kelantan State Legislative Assembly has not received any notification from Nenggiri Assemblyman Mohd Azizi Abu Naim of his stand to support Prime Minister Datuk Seri Anwar Ibrahim and the Unity Government.,2023-11-08,Politics
"Defectors, 'betrayals' do not impede party's resilience: Bersatu","KUALA LUMPUR: Amidst recent “betrayals” to stand in support of the unity government, Parti Pribumi Bersatu Malaysia (Bersatu)  affirmed that they remain unwavering and do not consider each act of betrayal as just ‘a loss’.",2023-11-08,Politics
Opposition MP alleges govt corruption in granting equal allocations to secure support,KUALA LUMPUR: An opposition member of parliament (MP) today has claimed that the government is engaging in corrupt practices by enticing opposition MPs to support the government through the granting of equal allocations.,2023-11-08,Politics
Sanusi claims Bersatu MPs' support for Anwar orchestrated by political brokers [Updated],ALOR STAR: Perikatan Nasional election director Datuk Seri Muhammad Sanusi Md Nor has alleged that the action taken by three Bersatu members of Parliament to vow their support for Prime Minister Datuk Seri Anwar Ibrahim was orchestrated by political brokers.,2023-11-08,Politics
PM to opposition: Engage in civil discourse over MP allocations,PUTRAJAYA: Prime Minister Datuk Seri Anwar Ibrahim reiterated his call for the opposition to engage in respectful discussions regarding the allocation of their members of parliament (MP).,2023-11-08,Politics
Fierce debate erupts in Dewan Rakyat over non-Muslims' right to drink alcohol,KUALA LUMPUR: The right for non-Muslims to drink alcohol sparked fierce debate between Teo Nie Ching (PH-Kulai) and Datuk Wan Saifulruddin Wan Jan (PN-Tasek Gelugor).,2023-11-08,Politics
Jeli MP added to the list of Bersatu lawmakers declaring support for Anwar's govt,"KUALA LUMPUR: Fresh off yesterday's wound, another Parti Pribumi Bersatu Malaysia (Bersatu) federal lawmaker has declared support for the Prime Minister Datuk Seri Anwar Ibrahim's administration.",2023-11-08,Politics
DAP calls for Kepala Batas MP to step down following unproven claims,KUALA LUMPUR: DAP Central Executive Committee (CEC) member Datuk Ngeh Koo Ham today has called out for Kepala Batas member of parliament (MP) Dr Siti Mastura Mohamad to step down as the people’s representative following slander thrown against DAP members. ,2023-11-08,Politics
Report filed against MP over Chin Peng family relations claim, ,2023-11-08,Politics
"Azizi's move to declare support to PM does not mean he left the party, says Tuan Ibrahim",KOTA BARU: The decision by Gua Musang member of Parliament Mohd Azizi Abu Naim to declare his support for Prime Minister Datuk Seri Anwar Ibrahim and the unity government does not mean he has left the party that he represented.,2023-11-08,Politics
Kelantan Umno believes move by Gua Musang MP just a game of diversion,"KOTA BARU: Kelantan Umno believes that the move by the Gua Musang member of parliament to declare his support for Prime Minister Datuk Seri Anwar Ibrahim and the unity government, is just a ‘diversion game’ to get allocations.",2023-11-08,Politics
Kelantan Bersatu will leave it to its central leadership on Gua Musang MP's fate,"KOTA BARU: The decision by Gua Musang member of Parliament Mohd Azizi Abu Naim to declare his support for Prime Minister Datuk Seri Anwar Ibrahim and his unity government, has shocked Parti Pribumi Bersatu Malaysia (Bersatu).",2023-11-08,Politics
Kelantan Bersatu will leave it to its central leadership on Gua Musang MP's fate,"KOTA BARU: The decision by Gua Musang member of Parliament Mohd Azizi Abu Naim to declare his support for Prime Minister Datuk Seri Anwar Ibrahim and his unity government, has shocked Parti Pribumi Bersatu Malaysia (Bersatu).",2023-11-08,Politics
Gua Musang MP Azizi becomes latest Bersatu member to declare support for Anwar [NSTTV],KUALA LUMPUR: Parti Pribumi Bersatu Malaysia’s Mohd Azizi Abu Naim has become the latest opposition member of parliament to declare his support for Prime Minister Datuk Seri Anwar Ibrahim and his unity government.,2023-11-07,Politics
Bersatu suspends Labuan MP's membership for 6 years for backing PM Anwar,"KUALA LUMPUR: Parti Pribumi Bersatu Malaysia has suspended the party membership of Labuan member of parliament Datuk Suhaili Abdul Rahman for six years, effective immediately.",2023-11-07,Politics
Pas' Ahmad Fadhli claims Harakah reporters' media passes revoked,"KUALA LUMPUR: A Pas man today claimed that the Information Department (JaPen) under the purview of the Communications and Digital Ministry has revoked the media passes of reporters from its official mouthpiece, Harakah.",2023-11-07,Politics
'Prove it or it's slander': DAP hits out at opposition MP,KUALA LUMPUR: Tempers flared in the Dewan Rakyat today after an opposition member of parliament (MP) Siti Mastura Mohamad refused to give government backbenchers the opportunity to interfere with her debate session following claims made against DAP members. ,2023-11-07,Politics
Guan Eng challenges Kepala Batas MP to prove he is related to Chin Peng and Lee Kuan Yew [NSTTV],"KUALA LUMPUR: DAP chairman Lim Guan Eng has challenged Kepala Batas member of Parliament (MP) Siti Mastura Mohamad to prove the alleged familial relations between him, Chin Peng and Lee Kuan Yew.",2023-11-07,Politics
"Make overseas voting more efficient, Global Bersih tells EC",KUALA LUMPUR: Global Bersih has called on the Election Commission (EC) to address the challenges posed by the limited time frame and enable Malaysians voting from overseas to exercise their voting rights effectively.,2023-11-07,Politics
Ramkarpal to Perikatan MPs: Lodge reports over alleged claims of development project offer from govt [NSTTV],KUALA LUMPUR: The two Perikatan Nasional members of parliament who claimed that they were offered projects to declare their support for the unity government should lodge reports with the Malaysian Anti-Corruption Commission (MACC). ,2023-11-06,Politics
"'You can continue politicking, just do not get me involved' - Dewan Rakyat speaker","KUALA LUMPUR: Dewan Rakyat Speaker Tan Sri Johari Abdul called for politicians to leave him out of political drama, saying he is colourblind to all parties in the hall.",2023-11-06,Politics
Johari backs proposal to disclose absentee MPs in Dewan Rakyat [NSTTV],KUALA LUMPUR: Titiwangsa Member of Parliament Datuk Seri Johari Abdul Ghani today voiced his support for the initiative to publicly reveal the names of consistently absent MPs from Dewan Rakyat sittings.,2023-11-05,Politics
Pas' Ahmad Fadhli welcomes govt's transparency initiative on absentee MPs,KOTA BARU: Pas has expressed support for the government's decision to publicly disclose the names of Members of Parliament (MPs) who have been consistently absent from Dewan Rakyat sittings. ,2023-11-05,Politics
Bersatu suspends Kuala Kangsar MP,"KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) has suspended Kuala Kangsar member of parliament Datuk Iskandar Dzulkarnain Abdul Khalid from the party for four years, beginning Friday (Nov 3).",2023-11-05,Politics
GPS successfully retains Jepak state seat [NSTTV],BINTULU:  Gabungan Parti Sarawak (GPS) has successfully retained the Jepak state seat with its candidate Iskandar Turkee having been declared the winner of the by-election tonight.,2023-11-04,Politics
Jepak by-election: Results expected at 9pm,"BINTULU: The results for the Jepak by-election is expected to be announced at about 9pm tonight, the Election Commission (EC) said.",2023-11-04,Politics
Suhaili accepts Bersatus' decision to replace him with Radzi Jidin,LABUAN: Labuan member of Parliament Datuk Dr Suhaili Abdul Rahman has accepted the decision by Parti Pribumi Bersatu Malaysia’s (Bersatu) leadership to replace him as the Federal Territories Bersatu head and Labuan divisional chief. ,2023-11-04,Politics
"Nga: Opposition needs to be constructive, enough with govt transition talk","TELUK INTAN: The opposition needs to play its role constructively and stop harping on sentiments of government transition, DAP vice chairman Nga Kor Ming said. ",2023-11-04,Politics
"Unity govt not short of support in Parliament, says Saifuddin Nasution","KULIM: The unity government under the Prime Minister Datuk Seri Anwar Ibrahim's leadership does not have any problems in terms of the level of support among MPs in the Dewan Rakyat at present, says Pakatan Harapan (PH) secretary-general Datuk Seri Saifuddin Nasution Ismail.",2023-11-04,Politics
Fahmi: No need for Madani government to offer projects in exhange for support,KUALA LUMPUR: Government spokesperson Fahmi Fadzil has refuted allegations that two opposition members of parliament (MPs) were offered projects in exchange for supporting the unity government. ,2023-11-03,Politics
"A majority of people want PN to take over government, says Hamzah",KUALA LUMPUR: Opposition leader Datuk Seri Hamzah Zainudin said a majority Malaysians want Perikatan Nasional (PN) to take control of the federal government. ,2023-11-03,Politics
"The late Salahuddin's replacement as Amanah deputy president will be chosen next month, says Mahfuz",PASIR MAS: The replacement for Datuk Seri Salahuddin Ayub as Parti Amanah Nasional deputy president will only be decided in the party’s election for its national leadership for the 2023-2026 term next month.,2023-11-03,Politics
"The late Salahuddin's replacement as Amanah deputy president will be chosen next month, says Mahfuz",PASIR MAS: The replacement for Datuk Seri Salahuddin Ayub as Parti Amanah Nasional deputy president will only be decided in the party’s election for its national leadership for the 2023-2026 term next month.,2023-11-03,Politics
"Unity govt should not impose any condition for equal allocation to opposition MPs, says Takiyuddin",KUALA LUMPUR: Perikatan Nasional (PN) is firm in its stance not to proceed with discussions with the unity government over equal distribution of parliamentary allocation. ,2023-11-03,Politics
Two opposition MPs claim they were offered projects as favours to support unity govt,KUALA LUMPUR: Two opposition members of Parliament today claimed they were offered projects in their respective parliamentary constituencies in return for their support for the unity government under Prime Minister Datuk Seri Anwar Ibrahim's leadership.,2023-11-03,Politics
Fahmi dismisses claims linking PKR with Israel-organisation,KUALA LUMPUR: PKR has dismissed claims made by irresponsible linking the party with an Israel organisation.,2023-11-03,Politics
Radzi Jidin is new FT Bersatu chief after 2 PN MPs declare support for PM,KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) vice-president Datuk Dr Radzi Jidin was today appointed as Federal Territories chief with immediate effect to replace Labuan MP Datuk Dr Suhaili Abdul Rahman.,2023-11-02,Politics
"Trouble for PN if agreement for equal allocations not signed, says analysts","KUALA LUMPUR: Perikatan Nasional's (PN) refusal to sign an agreement with the unity government to receive equal allocations for their lawmakers could spell trouble for the opposition pact, political analysts said.",2023-11-01,Politics
"Case of 2 PN MPs declaring support for PM now with disciplinary board, says Wan Fayhsal",KUALA LUMPUR: The case of the two Perikatan Nasional (PN) lawmakers who declared their support towards the leadership of Prime Minister Datuk Seri Anwar Ibrahim has been escalated to the coalition’s disciplinary body. ,2023-11-01,Politics
Don't fall for calls to stay away from polling - Awang Tengah,BINTULU: Voters in Jepak have been reminded to ignore calls by certain quarters to not go out and vote in Saturday’s by-election on the excuse that Gabungan Parti Sarawak (GPS) will win anyway.,2023-10-31,Politics
"Voice people's concerns in Dewan Rakyat instead of making absurd statements, Langkawi MP told",ALOR STAR: Kedah Umno Information chief Datuk Shaiful Hazizy Zainol Abidin has advised Langkawi MP Datuk Mohd Suhaimi Abdullah to voice the people's concerns in Dewan Rakyat instead of making absurd and disgraceful statements.,2023-10-31,Politics
Annuar Musa says he's ready to serve Pas,KOTA BARU: Former Ketereh MP and Muafakat Nasional chairman Tan Sri Annuar Musa said he is ready to serve Pas and continue with the party's struggle together with the present leadership.,2023-10-31,Politics
'Time should have been given to test Annuar's and Shahidan's loyalty to Pas before appointment',"KUALA LUMPUR: The decision by Pas to appoint two sacked Umno leaders to sit in the Islamist party's central committee for the new 2023/2025 term  garnered mixed reactions among political observers, with one of them surprised by such a development.",2023-10-31,Politics
Analysts: PM should treat remarks by TMJ as signal for cabinet reshuffle,"KUALA LUMPUR: The Tunku Mahkota of Johor’s statement that Datuk Seri Anwar Ibrahim does not have a “good team” is a signal that all measures need to be put in place to shield Malaysia from global political uncertainties and volatile markets, political analysts say.",2023-10-31,Politics
Two ex-Umno leaders appointed as members of Pas Central Committee,KUALA LUMPUR: Two former Umno leaders -- Tan Sri Annuar Musa and Datuk Seri Shahidan Kassim -- are among nine individuals appointed as members of the Pas Central Committee for 2023-2025.,2023-10-31,Politics
Bintulu Homeless Transit Centre to be completed by end of 2025,BINTULU: A Transit Centre for the Homeless (TTG) being built near the Sungai Sebiew Bridge here is expected to be completed by the end of 2025.,2023-10-31,Politics
Bersatu to discuss Labuan MP's support for PM Anwar,"KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) will hold a discussion soon to discuss Labuan member of parliament (MP) Datuk Suhaili Abdul Rahman, who declared support for Prime Minister Datuk Seri Anwar Ibrahim. ",2023-10-30,Politics
"'I asked a valid question,' says stunned Teresa over sexist remarks made by Langkawi MP [NSTTV]","KUALA LUMPUR: Seputeh member of parliament (MP) Teresa Kok today said she was left perplexed and stunned over a sexist comment made by Datuk Mohd Suhaimi Abdullah (PN-Langkawi) about her in Dewan Rakyat, last week. ",2023-10-30,Politics
Labuan's PN MP Suhaili declares support for Prime Minister,LABUAN: Labuan Member of Parliament (MP) Datuk Suhaili Abdul Rahman of Perikatan Nasional (PN) today (October 30) declared his support for Prime Minister Datuk Seri Anwar Ibrahim.,2023-10-30,Politics
All is well in Penang DAP- Chow,"KEPALA BATAS: Going by what Chief Minister Chow Kon Yeow says, all is well in Penang DAP.",2023-10-30,Politics
Anthony Loke issues warning to DAP members who fail to meet KPI,IPOH: DAP secretary-general Anthony Loke today warned the elected party members who failed to meet the party's key performance indicator (KPI) that they would be replaced.,2023-10-29,Politics
MyOnePas app still in Beta testing phase: Takiyuddin,"KOTA BARU: Pas has denied claims that the party's new app, called 'MyOnePAS', posed a security risk, saying that it is still in the Beta testing phase.",2023-10-28,Politics
MyOnePas app still in Beta testing phase: Takiyuddin,"KOTA BARU: Pas has denied claims that the party's new app, called 'MyOnePAS', posed a security risk, saying that it is still in the Beta testing phase.",2023-10-28,Politics
Saravanan: Rumours of cabinet appointment untrue,IPOH: There has been no discussion between Prime Minister Datuk Seri Anwar Ibrahim and MIC to appoint someone from the party as a cabinet minister or deputy minister.  ,2023-10-28,Politics
"My remarks to Kok weren't sexist, just banter among friends, says Langkawi MP",LANGKAWI: Langkawi member of parliament Datuk Mohd Suhaimi Abdullah has urged everyone to lay off the attacks against him over his ‘sexist’ remarks to Seputeh MP Teresa Kok in Parliament last Thursday.,2023-10-28,Politics
